# radon cc — 4237 functions/methods; grade distribution {'A': 2460, 'B': 1011, 'C': 561, 'D': 118, 'E': 45, 'F': 42}
# CC grade len file:line name
185 F  901 routes/v2/explore_ideal_text.py:1975 _tracked_changes_block
112 F  223 services/mlc3_founder_canary_readiness.py:265 validate_deployment_attestation
 85 F  269 services/feedback_data_contract.py:294 build_feedback_exposure_bundle
 74 F  191 services/take_feedback_policy_v3_service.py:34 prepare_v3_service_inventory
 66 F  264 routes/v2/coach.py:766 v2_coach_get_session
 65 F  216 routes/v2/explore_ideal_text.py:175 _ideal_piece_provenance
 62 F  308 routes/v2/coach.py:3265 v2_coach_confidence_queue
 61 F  117 services/mlc3_general_service_readiness.py:141 validate_general_deployment_attestation
 61 F  142 services/journal.py:271 validate_post_body
 59 F  668 config.py:73 Config
 58 F  269 routes/v2/coach_guidance_delivery.py:313 v2_coach_guidance_attachment
 57 F  202 services/manager_engine.py:592 arbitrate
 56 F  310 services/intervention_candidates.py:865 select
 56 F  200 routes/v2/explore_ideal_text.py:3215 v2_explore_put_ideal_user_edit
 55 F  123 services/confident_voice_practice.py:341 attach_exercise_offer
 53 F  136 routes/v2/user_sessions.py:1721 v2_start_confident_voice_practice
 52 F  179 services/take_feedback_candidates.py:87 current_take_confident_voice_candidate
 51 F  233 routes/v2/user_sessions.py:862 v2_user_suggestion_feedback
 50 F  215 services/ideal_text_parts.py:309 compose_locked
 49 F  186 services/ideal_text_block.py:394 maybe_assemble_ideal_text
 49 F  300 routes/v2/coaching.py:637 v2_coaching_state_machine_turn
 48 F  336 services/analysis_worker.py:118 _run_full_analysis_impl
 47 F  193 services/tracked_changes.py:239 build_tracked_changes
 47 F  148 routes/v2/coach.py:1370 v2_coach_confident_voice_practice
 45 F  105 services/take_feedback_policy_v3.py:353 _verbal_inventory
 44 F   78 services/tracked_changes.py:434 build_coach_revision_changes
 44 F  117 services/take_review.py:33 finalize_later_take_review
 44 F  110 services/db.py:3975 v2_get_sessions_with_previews
 44 F  110 services/db.py:3975 DatabaseService.v2_get_sessions_with_previews
 44 F  184 routes/v2/user_chat.py:183 _build_longitudinal_context_block
 44 F  208 routes/v2/explore_ideal_text.py:2880 v2_explore_set_part_lock
 43 F  201 services/openai_service.py:251 transcribe_audio
 43 F  201 services/openai_service.py:251 OpenAIService.transcribe_audio
 43 F  130 services/feedback_data_contract.py:161 _exact_transcript_evidence
 43 F  180 services/best_presentation.py:472 build_best_presentation
 43 F  186 routes/v2/user_sessions.py:1470 v2_post_take_feedback_response
 42 F  244 services/training_import.py:199 prepare_training_import
 42 F  216 services/openai_service.py:541 generate_final_report
 42 F  216 services/openai_service.py:541 OpenAIService.generate_final_report
 42 F  465 routes/v2/explore_ideal_text.py:722 v2_explore_get_ideal_text
 41 F  176 services/mlc3_founder_canary_readiness.py:491 assess_founder_canary_readiness
 41 F  119 routes/v2/explore_ideal_text.py:3092 v2_explore_set_part_root
 40 E   77 services/learning_exposures.py:116 prepare_feedback_presentations
 40 E  244 routes/v2/coach.py:3925 v2_coach_put_confidence_label
 39 E  175 services/take_feedback_policy_v3.py:481 build_shadow_frame
 39 E  178 services/rushed_phrase_endings_n1.py:84 extract_rushed_phrase_endings_n1
 39 E   92 services/ideal_text_core_snapshot.py:99 _exact_pieces
 39 E   94 routes/v2/coach.py:309 v2_coach_student_detail
 38 E  124 services/life_engine.py:500 derive_principles_from_wins
 38 E  140 services/db.py:12566 replace_ideal_text_parts
 38 E  209 services/db.py:8630 get_top_followup_examples
 38 E  140 services/db.py:12566 DatabaseService.replace_ideal_text_parts
 38 E  209 services/db.py:8630 DatabaseService.get_top_followup_examples
 38 E  141 routes/v2/user_sessions.py:1877 v2_add_confident_voice_practice_attempt
 38 E  177 routes/v2/coach.py:2350 v2_coach_arc_review_state
 37 E  139 services/pipeline_jobs.py:564 _run_session_recording
 36 E   86 services/voice_album.py:86 reconcile_voice_album_clip
 36 E  178 services/transcript_document.py:197 build_transcript_document
 36 E  198 services/stripe_checkout_credits.py:61 apply_paid_checkout_session_credits
 36 E  255 services/session_concatenation.py:76 concatenate_session_audio
 36 E  164 services/lab_send.py:42 send_lab_recording_to_coach
 36 E   90 services/ideal_text_variants.py:219 capture_user_edit_variants
 36 E  323 routes/v2/coaching.py:1256 v2_chat_query
 35 E  242 services/snippet_truncation.py:263 apply_extracted_snippets
 35 E  100 services/ideal_text_block.py:291 assemble_ideal_text_block
 34 E  141 services/mlc3_first_client_feedback.py:27 prepare_first_client_feedback
 34 E  108 services/master_document.py:94 build_skeleton
 34 E  173 routes/v2/coach.py:527 v2_coach_annotation_upload
